width,length,type,region,model,height-min,height-max,stories,shape,tags
40.0,12.0,agriculture,,objects/agriculture/Farm_40x12_Red_2.obj,,,,SQ,W2XP,Red
29.12,12.78,agriculture,CE,objects/houses/EU/CH/BAR_29.12x12.78x13.02_CH.obj,,,,SQ,W2XP
15.2,12.70,agriculture,,objects/agriculture/Barn_15.2x12.7_1.obj,,,,SQ,W2XP
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W1R1.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W1R2.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W1R3.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W1R4.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W2R1.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W2R2.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W2R3.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W2R4.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W3R1.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W3R2.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W3R3.obj,,,,,Blacky75
12.0,08.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x08_T1W3R4.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W1R1.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W1R2.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W1R3.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W1R4.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W2R1.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W2R2.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W2R3.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W2R4.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W3R1.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W3R2.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W3R3.obj,,,,,Blacky75
12.0,10.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x10_T1W3R4.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R4.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R4.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R4.obj,,,,,Blacky75
