width,height,type,region,model,height-min,height-max,stories
16,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-16x15m.obj,,,1
16,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-16x18m.obj,,,1
17,19,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-17x19m-a.obj,,,1
17,19,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-17x19m.obj,,,1
18,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x12m-a.obj,,,1
18,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x12m-b.obj,,,1
18,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x12m.obj,,,1
18,13,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x13m-a.obj,,,1
18,13,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x13m.obj,,,1
18,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x15m.obj,,,1
18,21,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x21m.obj,,,1
18,24,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x24m.obj,,,1
18,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x30m.obj,,,1
18,9,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-18x9m.obj,,,1
21,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-21x18m.obj,,,1
21,20,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-21x20m.obj,,,1
21,23,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-21x23m.obj,,,1
21,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-21x30m.obj,,,1
22,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-22x12m.obj,,,1
22,24,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-22x24m.obj,,,1
23,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-23x18m.obj,,,1
23,20,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-23x20m.obj,,,1
23,55,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-23x55m-a.obj,,,1
23,55,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-23x55m.obj,,,1
24,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-24x14m.obj,,,1
24,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-24x18m.obj,,,1
24,23,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-24x23m.obj,,,1
24,32,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-24x32m-a.obj,,,1
24,32,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-24x32m.obj,,,1
25,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-25x15m.obj,,,1
25,9,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-25x9m.obj,,,1
27,112,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-27x112m.obj,,,1
27,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-27x15m.obj,,,1
