width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands
23.00,10.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_23.00x10.15_1_IE.obj,,,1,SQ,W2XP,Black
24.52,10.61,residential,GB;IE;NL,objects/houses/EU/IE/RES_24.52x10.61_1_IE.obj,,,1,SQ,W2XP,Black
25.37,10.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_25.37x10.15_1_IE.obj,,,1,SQ,W2XP,Black
26.88,8.58,residential,GB;IE;NL,objects/houses/EU/IE/RES_26.88x8.58_IE.obj,,,2,SQ,W2XP,Black
28.64,12.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_28.64x12.15_1_IE.obj,,,1,SQ,W2XP,Black
28.95,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_28.95x6.09_IE.obj,,,2,SQ,W2XP,Black
30.69,13.41,residential,GB;IE;NL,objects/houses/EU/IE/RES_30.69x13.41_1_IE.obj,,,1,SQ,W2XP,Black
39.66,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_39.66x6.09_2_IE.obj,,,2,SQ,W2XP,Black
39.70,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_39.70x6.09_2_IE.obj,,,2,SQ,W2XP,Black
42.67,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_42.67_6.09_1_IE_2.obj,,,1,SQ,W2XP,Black
42.67,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_42.67x6.09_2_IE.obj,,,2,SQ,W2XP,Black
57.82,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_57.82_6.09_2_IE.obj,,,2,SQ,W2XP,Black
18.33,10.41,residential,GB;IE;NL,objects/houses/EU/IE/RET_18.33x10.41_2_IE.obj,,,2,SQ,W2XP,Black
18.50,7.62,residential,GB;IE;NL,objects/houses/EU/IE/RET_18.50x7.62_2_IE.obj,,,2,SQ,W2XP,Black
19.31,8.36,residential,GB;IE;NL,objects/houses/EU/IE/RET_19.31x8.36_2_IE.obj,,,2,SQ,W2XP,Black
29.06,13.18,residential,GB;IE;NL,objects/houses/EU/IE/RET_29.06x13.18_1_IE.obj,,,1,SQ,W2XP,Black
9.21,7.08,residential,GB;IE;NL,objects/houses/EU/IE/PUB_9.21x7.08_2_IE.obj,,,2,SQ,W2XP,Black
28.64,12.15,residential,GB;IE;NL,objects/houses/EU/IE/COM_28.64x12.15_3_IE.obj,,,2,SQ,W2XP,Black
5.0,9.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x9.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,9.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x9.0_2_UK_2.obj,,,2,SQ,W2XP,Black
9.2,7.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_9.2x7.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,10.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x10.0_2_UK_1.obj,,,2,SQ,W2XP,Black
7.0,11.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x11.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,11.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x11.0_UK_2.obj,,,2,SQ,W2XP,Black
7.0,12.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x12.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,12.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x12.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,6.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_6.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,GB;IE,objects/houses/EU/GB/RES_4.6x8.8_UK_1.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,GB;IE,objects/houses/EU/GB/RES_4.6x8.8_UK_2.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,GB;IE,objects/houses/EU/GB/RES_4.6x8.8_UK_3.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,GB;IE,objects/houses/EU/GB/RES_4.6x8.8_UK_4.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,GB;IE,objects/houses/EU/GB/RES_4.6x13.5_UK_1.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,GB;IE,objects/houses/EU/GB/RES_4.6x13.5_UK_2.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,GB;IE,objects/houses/EU/GB/RES_4.6x13.5_UK_3.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,GB;IE,objects/houses/EU/GB/RES_4.6x13.5_UK_4.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,GB;IE,objects/houses/EU/GB/RES_4.0x12.5_UK_1.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,GB;IE,objects/houses/EU/GB/RES_4.0x12.5_UK_2.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,GB;IE,objects/houses/EU/GB/RES_4.0x12.5_UK_3.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,GB;IE,objects/houses/EU/GB/RES_4.0x12.5_UK_4.obj,,,2,SQ,W2XP,Black
4.0,11.0,residential,GB;IE,objects/houses/EU/GB/RES_4.0x11.0_UK_1.obj,,,2,SQ,W2XP,Black
4.0,11.0,residential,GB;IE,objects/houses/EU/GB/RES_4.0x11.0_UK_2.obj,,,2,SQ,W2XP,Black
