width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Generic United Kingdom Library

5.0,9.0,residential,,objects/houses/EU/GB/RES_5.0x9.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,9.0,residential,,objects/houses/EU/GB/RES_5.0x9.0_2_UK_2.obj,,,2,SQ,W2XP,Black
9.2,7.0,residential,,objects/houses/EU/GB/RES_9.2x7.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,10.0,residential,,objects/houses/EU/GB/RES_5.0x10.0_2_UK_1.obj,,,2,SQ,W2XP,Black
7.0,11.0,residential,,objects/houses/EU/GB/RES_7.0x11.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,11.0,residential,,objects/houses/EU/GB/RES_7.0x11.0_UK_2.obj,,,2,SQ,W2XP,Black
7.0,12.0,residential,,objects/houses/EU/GB/RES_7.0x12.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,12.0,residential,,objects/houses/EU/GB/RES_7.0x12.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,6.0,residential,,objects/houses/EU/GB/RES_6.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,,objects/houses/EU/GB/RES_4.6x8.8_UK_1.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,,objects/houses/EU/GB/RES_4.6x8.8_UK_2.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,,objects/houses/EU/GB/RES_4.6x8.8_UK_3.obj,,,2,SQ,W2XP,Black
4.6,8.8,residential,,objects/houses/EU/GB/RES_4.6x8.8_UK_4.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,,objects/houses/EU/GB/RES_4.6x13.5_UK_1.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,,objects/houses/EU/GB/RES_4.6x13.5_UK_2.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,,objects/houses/EU/GB/RES_4.6x13.5_UK_3.obj,,,2,SQ,W2XP,Black
4.6,13.5,residential,,objects/houses/EU/GB/RES_4.6x13.5_UK_4.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,,objects/houses/EU/GB/RES_4.0x12.5_UK_1.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,,objects/houses/EU/GB/RES_4.0x12.5_UK_2.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,,objects/houses/EU/GB/RES_4.0x12.5_UK_3.obj,,,2,SQ,W2XP,Black
4.0,12.5,residential,,objects/houses/EU/GB/RES_4.0x12.5_UK_4.obj,,,2,SQ,W2XP,Black
4.0,11.0,residential,,objects/houses/EU/GB/RES_4.0x11.0_UK_1.obj,,,2,SQ,W2XP,Black
4.0,11.0,residential,,objects/houses/EU/GB/RES_4.0x11.0_UK_2.obj,,,2,SQ,W2XP,Black
3.5,11.5,residential,,objects/houses/EU/GB/RES_3.5x11.5_UK_1.obj,,,2,SQ,W2XP,Black
3.5,11.5,residential,,objects/houses/EU/GB/RES_3.5x11.5_UK_2.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,,objects/houses/EU/GB/RES_06x09_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,,objects/houses/EU/GB/RES_06x09_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,,objects/houses/EU/GB/RES_06x09_2_UK_3.obj,,,2,SQ,W2XP,Red
6.0,9.0,residential,,objects/houses/EU/GB/RES_06x09_2_UK_4.obj,,,2,SQ,W2XP,Red
6.0,8.0,residential,,objects/houses/EU/GB/RES_06x08_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,8.0,residential,,objects/houses/EU/GB/RES_06x08_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,8.0,residential,,objects/houses/EU/GB/RES_06x08_2_UK_3.obj,,,2,SQ,W2XP,Red
6.0,8.0,residential,,objects/houses/EU/GB/RES_06x08_2_UK_4.obj,,,2,SQ,W2XP,Red
